MANDT,MBLNR,MJAHR,ZEILE,BLDAT,CHARG,BUDAT,BWART,BTEXT,AUFNR,WERKS,LGORT,MATNR,MAKTX,MEINS,MENGE,VBELN_IM,WEMPF,EBELN,XBLNR_MKPF,ERFMG,ERFME,AUFPL,BUKRS,LIFNR,NPLNR,RSNUM,RSPOS,SGTXT,USNAM_MKPF,WAERS,DMBTR,NAME1,KOSTL,BKTXT,VORNR
600,5000001321,2023,0001,2223-01-03T00:00:00.000Z,230103TMSU,2023-01-03T00:00:00.000Z,102,Anul.EM para orden,000020202147,TMSU,PI03,000000000050003972,ACEITE DE PESCADO PAMA,TO,-4.3,,,,PRODUCCION 03.01,4.3,TO,0000000000,TA10,,,0000000000,0000,,GCASO,PEN,14033.95,MALABRIGO SUR,,,
600,4900242559,2019,0001,2219-11-21T00:00:00.000Z,191121TSAM,2019-11-21T00:00:00.000Z,941,TR Traslado en ce.,,TSAM,PI03,000000000050003972,ACEITE DE PESCADO PAMA,TO,-9.48,,,,,9.48,TO,0000000000,TA10,,,0000000000,0000,,JOAGUILAR,PEN,0,SAMANCO,,TRASLADO DEL PI03 AL TK04,
600,4900242559,2019,0002,2219-11-21T00:00:00.000Z,191121TSAM,2019-11-21T00:00:00.000Z,941,TR Traslado en ce.,,TSAM,TK04,000000000050003972,ACEITE DE PESCADO PAMA,TO,9.48,,,,,9.48,TO,0000000000,TA10,,,0000000000,0000,,JOAGUILAR,PEN,0,SAMANCO,,TRASLADO DEL PI03 AL TK04,
600,5000068909,2019,0001,2209-09-06T00:00:00.000Z,,2019-09-06T00:00:00.000Z,101,EM Entr.mercancías,,TCNO,L001,000000000033031953,ELBOW COOLER 4N-0826,ST,1,,,5010000275,700-0238339,1,ST,0000000000,TA10,2010002869,,0000000000,0000,,YIZAGUIRRE,PEN,584.71,TASA CALLAO NORTE,,REGULARIZACIÓN,
600,5000068909,2019,0002,2209-09-06T00:00:00.000Z,,2019-09-06T00:00:00.000Z,101,EM Entr.mercancías,,TCNO,L001,000000000033039453,TUBE AS 123-2886,ST,1,,,5010000275,700-0238339,1,ST,0000000000,TA10,2010002869,,0000000000,0000,,YIZAGUIRRE,PEN,211.41,TASA CALLAO NORTE,,REGULARIZACIÓN,
600,5000068909,2019,0003,2209-09-06T00:00:00.000Z,,2019-09-06T00:00:00.000Z,101,EM Entr.mercancías,,TCNO,L001,000000000033039454,TUBE AS 1W-6137,ST,1,,,5010000275,700-0238339,1,ST,0000000000,TA10,2010002869,,0000000000,0000,,YIZAGUIRRE,PEN,822.29,TASA CALLAO NORTE,,REGULARIZACIÓN,
600,5000207769,2025,0001,2205-04-27T00:00:00.000Z,CNO2400827,2025-04-27T00:00:00.000Z,101,EM Stock en tránsito,,TSAM,PI01,000000000050003915,HOMOGENIZACION POR BAJA CALIDAD,TO,8,0080774081,,5050196790,09-00520-0107377,160,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,SAMANCO,,30.110,
600,5000207769,2025,0002,2205-04-27T00:00:00.000Z,CHI2401379,2025-04-27T00:00:00.000Z,101,EM Stock en tránsito,,TSAM,PI01,000000000050003915,HOMOGENIZACION POR BAJA CALIDAD,TO,1,0080774081,,5050196790,09-00520-0107377,20,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,SAMANCO,,30.110,
600,5000207769,2025,0003,2205-04-27T00:00:00.000Z,SAM2417014,2025-04-27T00:00:00.000Z,101,EM Stock en tránsito,,TSAM,PI01,000000000050003915,HOMOGENIZACION POR BAJA CALIDAD,TO,7,0080774081,,5050196790,09-00520-0107377,140,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,SAMANCO,,30.110,
600,5000207769,2025,0004,2205-04-27T00:00:00.000Z,SAM2500030,2025-04-27T00:00:00.000Z,101,EM Stock en tránsito,,TSAM,PI01,000000000050003915,HOMOGENIZACION POR BAJA CALIDAD,TO,14,0080774081,,5050196790,09-00520-0107377,280,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,SAMANCO,,30.110,
600,5000085539,2024,0001,2204-05-06T00:00:00.000Z,240506TPSU,2024-05-06T00:00:00.000Z,101,EM para orden,000020202691,TPSU,PI03,000000000050003974,ACEITE CRUDO NO CONFORME,TO,9.7,,,,PRODUCCIÓN 06.05,9.7,TO,0000000000,TA10,,,0000000000,0000,,JGARCIA,PEN,27034,PISCO SUR,,Producción día 06.05.2024,
600,5000085539,2024,0002,2204-05-06T00:00:00.000Z,240506TPSU,2024-05-06T00:00:00.000Z,101,EM para orden,000020202691,TPSU,PI03,000000000050003972,ACEITE DE PESCADO PAMA,TO,0.6,,,,PRODUCCIÓN 06.05,0.6,TO,0000000000,TA10,,,0000000000,0000,,JGARCIA,PEN,1672.21,PISCO SUR,,Producción día 06.05.2024,
600,5000015883,2023,0001,2203-01-30T00:00:00.000Z,CNO2300126,2023-01-30T00:00:00.000Z,101,EM Stock en tránsito,,TCNO,C001,000000000050003967,HARINA A SUPER PRIME,TO,30,0080547719,,5050124591,0080547719,600,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,TASA CALLAO NORTE,,29.830,
600,5000015884,2023,0001,2203-01-30T00:00:00.000Z,CNO2300131,2023-01-30T00:00:00.000Z,101,EM Stock en tránsito,,TCNO,C001,000000000050003967,HARINA A SUPER PRIME,TO,30,0080547720,,5050124592,0080547720,600,SAC,0000000000,TA10,,,0000000000,0000,,EABAD,PEN,0,TASA CALLAO NORTE,,29.840,
600,5000169087,2020,0001,2202-11-27T00:00:00.000Z,PSU2000081,2020-11-27T00:00:00.000Z,101,EM Stock en tránsito,,TPSU,C001,000000000050003969,HARINA B PRIME,TO,10,0080245150,,5050035681,0080245150,200,SAC,0000000000,TA10,,,0000000000,0000,,JOAGUILAR,PEN,0,PISCO SUR,,31.910,
600,5000169087,2020,0002,2202-11-27T00:00:00.000Z,PSU2000084,2020-11-27T00:00:00.000Z,101,EM Stock en tránsito,,TPSU,C001,000000000050003969,HARINA B PRIME,TO,22,0080245150,,5050035681,0080245150,440,SAC,0000000000,TA10,,,0000000000,0000,,JOAGUILAR,PEN,0,PISCO SUR,,31.910,
600,4900728792,2024,0001,2202-11-21T00:00:00.000Z,241121TCNO,2024-11-22T00:00:00.000Z,941,TR Traslado en ce.,,TCNO,PI03,000000000050003975,ACEITE CRUDO CH,TO,-16.48,,,,,16.48,TO,0000000000,TA10,,,0000000000,0000,,CCHAU,PEN,0,TASA CALLAO NORTE,,PRODUCC. 20241121,
600,4900728792,2024,0002,2202-11-21T00:00:00.000Z,241121TCNO,2024-11-22T00:00:00.000Z,941,TR Traslado en ce.,,TCNO,DK02,000000000050003975,ACEITE CRUDO CH,TO,16.48,,,,,16.48,TO,0000000000,TA10,,,0000000000,0000,,CCHAU,PEN,0,TASA CALLAO NORTE,,PRODUCC. 20241121,
600,4900728796,2024,0001,2202-11-21T00:00:00.000Z,241121TCNO,2024-11-21T00:00:00.000Z,941,TR Traslado en ce.,,TCNO,PI03,000000000050003972,ACEITE DE PESCADO PAMA,TO,-11.89,,,,,11.89,TO,0000000000,TA10,,,0000000000,0000,,CCHAU,PEN,0,TASA CALLAO NORTE,,PRODUCC. 20241121,
600,4900728796,2024,0002,2202-11-21T00:00:00.000Z,241121TCNO,2024-11-21T00:00:00.000Z,941,TR Traslado en ce.,,TCNO,DK07,000000000050003972,ACEITE DE PESCADO PAMA,TO,11.89,,,,,11.89,TO,0000000000,TA10,,,0000000000,0000,,CCHAU,PEN,0,TASA CALLAO NORTE,,PRODUCC. 20241121,
600,4900740023,2025,0001,2202-09-11T00:00:00.000Z,,2025-09-11T00:00:00.000Z,261,SM para orden,M728356,TCNO,L001,000000000031003986,OXIGENO IND.,M3,-10,,45826244,,,10,M3,0000000000,TA10,,,0038022930,0001,,ABEDOYA,PEN,60,TASA CALLAO NORTE,,GONZALO CORTEZZ,
600,4900255957,2022,0001,2202-09-01T00:00:00.000Z,,2022-09-01T00:00:00.000Z,261,SM para orden,M430049,TVEG,L001,000000000034002602,"TUBO PIREX LINEA ROJA 300°C OD.5/8""X10.5",ST,-1,,15725298,,,1,ST,0000000000,TA10,,,0025127363,0001,,RGARCIA,PEN,63.76,VEGUETA,,ROBERTO OYOLA,
600,4900255957,2022,0002,2202-09-01T00:00:00.000Z,,2022-09-01T00:00:00.000Z,261,SM para orden,M430049,TVEG,L001,000000000034002531,"EMPAQ.P/VISOR VIDR.5/8""",ST,-2,,15725298,,,2,ST,0000000000,TA10,,,0025127363,0002,,RGARCIA,PEN,17.18,VEGUETA,,ROBERTO OYOLA,
600,5000415156,2025,0001,2202-08-15T00:00:00.000Z,,2025-08-15T00:00:00.000Z,101,EM para imputación,,TCNO,,,,,0,,,5010231901,5010231901,1,LE,0000000000,TA10,2060301910,,0000000000,0000,COLOCACION CAMILLA DE EMERG. ALM CEN,BPEREZPALMA,PEN,230,TASA CALLAO NORTE,3013300002,COLOCACION CAMILLA DE EME,
600,4900287300,2021,0001,2202-08-04T00:00:00.000Z,,2021-08-04T00:00:00.000Z,201,SM para centro coste,,TCHI,L001,000000000032004396,GUANTE POLI-ALGO.P/MANIO. T/L(9),PAR,-1,,44273868,,,1,PAR,0000000000,TA10,,,0024194068,0001,EPP NUEVO,ATERRONES,PEN,12.94,CHIMBOTE,3032194001,MARCO MUÑOZ ARISTA,
600,4900287300,2021,0002,2202-08-04T00:00:00.000Z,E41125-51,2021-08-04T00:00:00.000Z,261,SM para orden,M305776,TCHI,L001,000000000031013855,SOLDADURA CELLOCORD AP E6011 3.25MM,KG,-1,,44273868,,,1,KG,0000000000,TA10,,,0024196257,0001,,ATERRONES,PEN,10.61,CHIMBOTE,,MARCO MUÑOZ ARISTA,
600,4900235644,2022,0001,2202-08-03T00:00:00.000Z,220803TMAT,2022-08-03T00:00:00.000Z,311,TR Traslado en ce.,,TMAT,DK02,000000000050003975,ACEITE CRUDO CH,TO,-4.3,,,,,4.3,TO,0000000000,TA10,,,0000000000,0000,,VMONTOYA,PEN,0,MATARANI,,,
600,4900235644,2022,0002,2202-08-03T00:00:00.000Z,220803TMAT,2022-08-03T00:00:00.000Z,311,TR Traslado en ce.,,TMAT,TK01,000000000050003975,ACEITE CRUDO CH,TO,4.3,,,,,4.3,TO,0000000000,TA10,,,0000000000,0000,,VMONTOYA,PEN,0,MATARANI,,,
600,4900274603,2021,0001,2202-07-22T00:00:00.000Z,,2021-07-22T00:00:00.000Z,201,SM para centro coste,,TCHI,L001,000000000033039688,"VALV.BOLA INOX.NPT 150PSI 3/4""",ST,-1,,40785975,,,1,ST,0000000000,TA10,,,0024097784,0001,SEC RTD,ATERRONES,PEN,15.89,CHIMBOTE,3032194001,EVER NICODEMOS LLEMPEN,
600,5000183412,2024,0001,2202-06-26T00:00:00.000Z,40614CHI05,2024-06-26T00:00:00.000Z,101,EM Stock en tránsito,,TCHI,BP04,000000000050003839,ACEITE CRUDO AQUA,TO,39.97,0080676463,,5050163399,09-00371-0032622,39.97,TO,0000000000,TA10,,,0000000000,0000,,MAROJAS,PEN,0,CHIMBOTE,,39.94,
600,5000304693,2025,0001,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TPAC,,,,,0,,,5060083289,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HS25000019,FRVARGAS,PEN,380,CIA. PESQUERA PACIFICO CENTRO,3050221014,Liberado,
600,5000304693,2025,0002,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TPAC,,,,,0,,,5060083307,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HP25000028,FRVARGAS,PEN,479,CIA. PESQUERA PACIFICO CENTRO,3050221014,Liberado,
600,5000304693,2025,0003,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TVEG,,,,,0,,,5060083302,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HS25000150,FRVARGAS,PEN,380,VEGUETA,3050221013,Liberado,
600,5000304693,2025,0004,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TPSU,,,,,0,,,5060083383,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HP25000079,FRVARGAS,PEN,1445,PISCO SUR,3050221016,Liberado,
600,5000304693,2025,0005,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TVEG,,,,,0,,,5060083253,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HS25000148,FRVARGAS,PEN,1773,VEGUETA,3050221013,Liberado,
600,5000304694,2025,0001,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TPAC,,,,,0,,,5060083395,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HP25000029,FRVARGAS,PEN,289,CIA. PESQUERA PACIFICO CENTRO,3050221014,Liberado,
600,5000304694,2025,0002,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TPSU,,,,,0,,,5060083383,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HP25000078,FRVARGAS,PEN,656,PISCO SUR,3050221016,Liberado,
600,5000304694,2025,0003,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TVEG,,,,,0,,,5060083556,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HS25000152,FRVARGAS,PEN,380,VEGUETA,3050221012,Liberado,
600,5000304694,2025,0004,2202-06-13T00:00:00.000Z,,2025-06-13T00:00:00.000Z,101,EM para imputación,,TCNO,,,,,0,,,5060083425,LIBERADO,1,UA,0000000000,TA10,2010011434,,0000000000,0000,Servicio de Analisis HP25000040,FRVARGAS,PEN,3460,TASA CALLAO NORTE,3050221014,Liberado,
