MANDT,GJAHR,MONAT,BUDAT_MKPF,WERKS,BWART,INDICADOR,MATNR,ORIGEN,MAKTX,CHARG,HSDAT,CANTIDAD,CANTIDADABSOLUTA,ERFME,USNAM_MKPF,MOVIMIENTO,OPFLAG
600,2024,12,20241201,TCNO,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CNO2400619,20241119,32,32,TO,CBURGOS,HARINA E GENERAL,I
600,2024,12,20241201,TPSU,943,PNC                                     ,000000000050003915                      ,Producción,HOMOGENIZACION POR BAJA CALIDAD,PSU2400239,20241126,50,50,TO,OCASTILLO,PNC,I
600,2024,12,20241201,TVEG,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,VEG2300194,20231113,8,8,TO,JPALACIOS,HARINA NC. ANTIGUEDAD >4/6 MESES,I
600,2024,12,20241201,TVEG,261,REPROCESO                               ,000000000050003915                      ,Producción,HOMOGENIZACION POR BAJA CALIDAD,MAT2400053,20240713,18,18,TO,JPALACIOS,HOMOGENIZACION POR BAJA CALIDAD,I
600,2024,12,20241201,TVEG,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,CHI2400046,20240420,3,3,TO,JPALACIOS,HARINA NC. TVN,I
600,2024,12,20241201,TVEG,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,VEG2400411,20241117,14,14,TO,JPALACIOS,HARINA E GENERAL,I
600,2024,12,20241202,TCHI,943,PNC                                     ,000000000050003912                      ,Producción,HARINA NC. HUMEDAD BAJA (PRODUCCION),CHI2401016,20241128,50,50,TO,ADMIJOB,PNC,I
600,2024,12,20241202,TCHI,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CHI2401020,20241201,6,6,TO,ASANCHEZM,HARINA E GENERAL,I
600,2024,12,20241202,TCNO,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,MSU2400303,20240509,15,15,TO,CBURGOS,HARINA NC. ANTIGUEDAD >4/6 MESES,I
600,2024,12,20241202,TCNO,261,REPROCESO                               ,000000000050003904                      ,Producción,HARINA NC. CLORURO ALTO,CHI2317008,20230810,1,1,TO,CBURGOS,HARINA NC. CLORURO ALTO,I
